Timestamp,Event_Id,Component,Event_Type,Description,Severity,Active_DTC
0.000000,1001,ECU_Gateway,STATE_TRANSITION,System initialization completed successfully,INFO,NONE
0.020000,1022,Driver_Inputs,USER_ACTION,Ignition terminal switched to RUN mode,INFO,NONE
0.150000,3001,Power_Stage,STATE_TRANSITION,EPS Power inverter circuit calibration synchronized,INFO,NONE
14.205000,2045,Chassis_Safety,STATE_TRANSITION,Automated Lane-Keep Assist system engaged by driver,INFO,NONE
840.650000,2046,Chassis_Safety,STATE_TRANSITION,Automated Lane-Keep Assist system disengaged - hands detected on wheel,INFO,NONE
900.000000,9000,ECU_Gateway,HEARTBEAT,Chassis bus component safety heartbeats nominal,INFO,NONE
1800.000000,9000,ECU_Gateway,HEARTBEAT,Chassis bus component safety heartbeats nominal,INFO,C1093
2700.000000,9000,ECU_Gateway,HEARTBEAT,Chassis bus component safety heartbeats nominal,INFO,NONE
3598.500000,2047,Chassis_Safety,STATE_TRANSITION,All active driver assistance tracking modules safely disconnected,INFO,NONE
3599.950000,1023,Driver_Inputs,USER_ACTION,Ignition terminal switched to OFF mode,INFO,NONE
3600.000000,1002,ECU_Gateway,STATE_TRANSITION,Gateway enters micro-sleep power saving state,INFO,NONE
